"","PassengerId","HomePlanet","CryoSleep","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Transported","PassengerGroup","PassengerNumInGroup","CabinPlatform","CabinNumber","CabinSide","amountSpent"
"75","0081_01","Earth",TRUE,"TRAPPIST-1e",13,FALSE,0,0,0,0,0,FALSE,"0081","01","G",13,"S",0
"76","0082_01","Mars",FALSE,"TRAPPIST-1e",42,FALSE,7406,0,0,0,0,FALSE,"0082","01","F",16,"P",7406
"77","0082_02","Mars",TRUE,"TRAPPIST-1e",2,FALSE,0,0,0,0,0,TRUE,"0082","02","F",16,"P",0
"78","0082_03","Mars",FALSE,"TRAPPIST-1e",8,FALSE,0,0,0,0,0,TRUE,"0082","03","F",16,"P",0
"79","0084_01","Earth",FALSE,"TRAPPIST-1e",24,FALSE,688,0,0,0,17,TRUE,"0084","01","G",14,"S",705
"80","0085_01","Europa",TRUE,"TRAPPIST-1e",40,FALSE,0,0,0,0,0,TRUE,"0085","01","C",5,"S",0
"81","0086_01","Earth",FALSE,"TRAPPIST-1e",43,FALSE,211,0,0,638,513,FALSE,"0086","01","F",17,"P",1362
"82","0088_01","Mars",TRUE,"PSO J318.5-22",45,FALSE,0,0,0,0,0,TRUE,"0088","01","E",5,"S",0
"83","0090_01","Earth",TRUE,"TRAPPIST-1e",35,FALSE,0,0,0,0,0,TRUE,"0090","01","G",15,"S",0
"84","0091_01","Earth",TRUE,"TRAPPIST-1e",26,FALSE,219.598890210067,0,0,0,0,TRUE,"0091","01","G",16,"S",219.598890210067
"85","0091_02","Earth",FALSE,"TRAPPIST-1e",27,FALSE,1,697,31,188,0,FALSE,"0091","02","F",20,"S",917
"86","0092_01","Earth",FALSE,"TRAPPIST-1e",19,FALSE,0,0,670,1,34,FALSE,"0092","01","G",9,"P",705
"87","0092_02","Earth",TRUE,"TRAPPIST-1e",0,FALSE,0,0,177.691390728477,0,0,TRUE,"0092","02","G",9,"P",177.691390728477
"88","0092_03","Earth",TRUE,"TRAPPIST-1e",3,FALSE,0,0,0,0,0,TRUE,"0092","03","G",9,"P",0
"89","0097_01","Europa",FALSE,"TRAPPIST-1e",54,FALSE,0,1208,0,3,637,FALSE,"0097","01","A",2,"S",1848
"90","0098_01","Earth",FALSE,"TRAPPIST-1e",26,FALSE,0,856,5,32,0,FALSE,"0098","01","G",11,"P",893
"91","0098_02","Earth",FALSE,"TRAPPIST-1e",26,FALSE,0,2811,957,0,87,TRUE,"0098","02","G",11,"P",3855
"92","0099_01","Earth",FALSE,"PSO J318.5-22",23,FALSE,311,427,526,37,0,FALSE,"0099","01","F",19,"P",1301
"95","0102_01","Earth",FALSE,"TRAPPIST-1e",18,FALSE,0,0,0,830,91,FALSE,"0102","01","F",23,"S",921
"96","0103_01","Earth",FALSE,"TRAPPIST-1e",24,FALSE,0,425.475178241352,0,0,17,TRUE,"0103","01","F",24,"S",442.475178241352
"97","0103_02","Earth",TRUE,"55 Cancri e",9,FALSE,0,0,0,0,0,TRUE,"0103","02","G",18,"S",0
"98","0103_03","Earth",TRUE,"TRAPPIST-1e",6,FALSE,0,0,0,0,0,FALSE,"0103","03","G",18,"S",0
"100","0107_01","Mars",FALSE,"TRAPPIST-1e",21,FALSE,1743,5,17,0,0,FALSE,"0107","01","D",2,"S",1765
"101","0108_01","Earth",TRUE,"TRAPPIST-1e",23,FALSE,0,0,0,0,0,FALSE,"0108","01","G",19,"S",0
"102","0108_02","Earth",FALSE,"TRAPPIST-1e",31,FALSE,562,0,326,0,0,FALSE,"0108","02","G",19,"S",888
"106","0110_03","Europa",FALSE,"TRAPPIST-1e",42,FALSE,2209,11418,0,1868,445,TRUE,"0110","03","B",5,"P",15940
"107","0110_04","Europa",TRUE,"TRAPPIST-1e",28,FALSE,0,0,0,0,0,TRUE,"0110","04","B",5,"P",0
"108","0111_01","Europa",TRUE,"TRAPPIST-1e",29,FALSE,0,0,0,0,0,TRUE,"0111","01","E",6,"S",0
"109","0112_01","Europa",FALSE,"55 Cancri e",48,TRUE,0,2537,87,17,13,TRUE,"0112","01","B",1,"S",2654
"110","0113_01","Earth",FALSE,"TRAPPIST-1e",64,FALSE,0,0,804,0,0,TRUE,"0113","01","F",23,"P",804
"111","0114_01","Earth",FALSE,"TRAPPIST-1e",27,FALSE,82,157,429,238,1,FALSE,"0114","01","G",20,"S",907
"113","0116_01","Europa",FALSE,"TRAPPIST-1e",33,FALSE,1,2223,0,12,404,TRUE,"0116","01","D",4,"P",2640
"114","0119_01","Unknown",FALSE,"TRAPPIST-1e",39,FALSE,0,2344,0,65,6898,FALSE,"0119","01","A",0,"P",9307
"115","0119_02","Europa",TRUE,"TRAPPIST-1e",13,FALSE,0,0,0,0,0,TRUE,"0119","02","A",0,"P",0
"116","0120_01","Mars",TRUE,"TRAPPIST-1e",24,FALSE,0,0,0,0,285.502841284525,TRUE,"0120","01","F",25,"P",285.502841284525
"117","0122_01","Earth",FALSE,"TRAPPIST-1e",29,FALSE,0,0,0,699,74,FALSE,"0122","01","G",21,"S",773
"118","0123_01","Earth",FALSE,"TRAPPIST-1e",18,FALSE,55,597,49,0,1,FALSE,"0123","01","F",27,"P",702
"119","0126_01","Mars",TRUE,"TRAPPIST-1e",67,FALSE,0,0,0,0,0,TRUE,"0126","01","F",27,"S",0
"120","0127_01","Mars",FALSE,"TRAPPIST-1e",35,FALSE,701,0,296,0,25,FALSE,"0127","01","E",7,"S",1022
"121","0128_01","Mars",FALSE,"TRAPPIST-1e",61,TRUE,2353,334,9,316,2,FALSE,"0128","01","D",3,"S",3014
"122","0128_02","Mars",FALSE,"TRAPPIST-1e",45,FALSE,2103,6,0,0,0,FALSE,"0128","02","E",8,"S",2109
"123","0129_01","Earth",TRUE,"PSO J318.5-22",22,FALSE,0,0,177.691390728477,0,0,TRUE,"0129","01","G",22,"S",177.691390728477
"124","0133_01","Mars",TRUE,"TRAPPIST-1e",19,FALSE,0,0,0,0,0,TRUE,"0133","01","F",29,"S",0
"125","0133_02","Mars",FALSE,"TRAPPIST-1e",36,FALSE,2738,0,0,0,0,FALSE,"0133","02","D",5,"S",2738
"126","0134_01","Earth",FALSE,"TRAPPIST-1e",19,FALSE,0,14,730,0,0,TRUE,"0134","01","G",17,"P",744
"127","0136_01","Earth",FALSE,"PSO J318.5-22",47,FALSE,97,418,126,25,55,FALSE,"0136","01","G",23,"S",721
"128","0138_01","Earth",TRUE,"TRAPPIST-1e",13,FALSE,0,0,0,0,0,TRUE,"0138","01","G",18,"P",0
"129","0138_02","Earth",FALSE,"Unknown",34,FALSE,0,22,0,564,207,FALSE,"0138","02","E",5,"P",793
"130","0139_01","Europa",TRUE,"55 Cancri e",35,FALSE,0,0,0,0,0,TRUE,"0139","01","C",6,"S",0
"131","0140_01","Earth",TRUE,"TRAPPIST-1e",24,FALSE,0,0,0,0,0,TRUE,"0140","01","G",19,"P",0
"132","0140_02","Earth",FALSE,"TRAPPIST-1e",26,FALSE,440,0,0,0,462,FALSE,"0140","02","F",29,"P",902
"133","0141_01","Mars",FALSE,"TRAPPIST-1e",31,FALSE,219.598890210067,0,97,0,0,FALSE,"0141","01","F",30,"P",316.598890210067
"134","0144_01","Earth",FALSE,"TRAPPIST-1e",20,FALSE,0,420,210,0,0,TRUE,"0144","01","F",31,"S",630
"135","0146_01","Earth",FALSE,"TRAPPIST-1e",56,FALSE,0,0,0,0,0,FALSE,"0146","01","G",25,"S",0
"136","0147_01","Earth",TRUE,"TRAPPIST-1e",50,FALSE,0,0,0,0,0,TRUE,"0147","01","G",26,"S",0
"137","0148_01","Mars",FALSE,"TRAPPIST-1e",42,FALSE,1072,0,10,0,76,FALSE,"0148","01","F",31,"P",1158
"139","0151_01","Earth",TRUE,"55 Cancri e",38,FALSE,0,0,0,0,0,FALSE,"0151","01","G",20,"P",0
"140","0152_01","Earth",FALSE,"Unknown",41,FALSE,0,0,0,0,607,FALSE,"0152","01","F",32,"P",607
"141","0160_01","Earth",FALSE,"TRAPPIST-1e",22,FALSE,4119,0,0,0,61,FALSE,"0160","01","G",22,"P",4180
"142","0163_01","Europa",TRUE,"TRAPPIST-1e",26,FALSE,0,0,0,0,0,TRUE,"0163","01","B",8,"P",0
"143","0163_02","Europa",TRUE,"TRAPPIST-1e",17,FALSE,0,0,0,0,0,TRUE,"0163","02","B",8,"P",0
"144","0164_01","Earth",FALSE,"TRAPPIST-1e",57,FALSE,50,1688,0,296.987837123215,135,TRUE,"0164","01","G",28,"S",2169.98783712322
"145","0164_02","Earth",TRUE,"PSO J318.5-22",17,FALSE,0,0,0,0,0,FALSE,"0164","02","G",28,"S",0
"147","0167_01","Mars",TRUE,"TRAPPIST-1e",13,FALSE,0,0,0,0,0,TRUE,"0167","01","F",35,"S",0
"148","0167_02","Mars",FALSE,"TRAPPIST-1e",27,FALSE,1365,0,48,22,137,FALSE,"0167","02","F",35,"S",1572
"149","0169_01","Earth",TRUE,"TRAPPIST-1e",31,FALSE,0,0,0,0,0,FALSE,"0169","01","G",23,"P",0
"150","0170_01","Earth",FALSE,"TRAPPIST-1e",24,FALSE,0,0,0,221,567,FALSE,"0170","01","E",10,"S",788
"151","0171_01","Earth",TRUE,"PSO J318.5-22",19,FALSE,0,0,0,0,0,TRUE,"0171","01","G",30,"S",0
"152","0172_01","Earth",TRUE,"TRAPPIST-1e",32,FALSE,0,0,0,0,0,TRUE,"0172","01","G",24,"P",0
"154","0174_01","Earth",FALSE,"55 Cancri e",21,FALSE,287,0,16,115,175,FALSE,"0174","01","F",38,"P",593
"155","0177_01","Europa",FALSE,"TRAPPIST-1e",38,FALSE,0,10346,1,14970,2111,FALSE,"0177","01","B",2,"S",27428
"156","0178_01","Mars",FALSE,"TRAPPIST-1e",38,FALSE,3414,0,161,28,119,FALSE,"0178","01","D",6,"S",3722
"157","0179_01","Earth",FALSE,"TRAPPIST-1e",19,FALSE,1,219,673,2,11,TRUE,"0179","01","G",26,"P",906
"158","0179_02","Earth",FALSE,"TRAPPIST-1e",0,FALSE,0,0,0,0,0,FALSE,"0179","02","G",26,"P",0
"159","0179_03","Earth",FALSE,"TRAPPIST-1e",3,FALSE,0,0,0,0,0,TRUE,"0179","03","G",26,"P",0
"160","0181_01","Earth",FALSE,"TRAPPIST-1e",20,FALSE,0,0,3,299,92,FALSE,"0181","01","G",27,"P",394
"161","0182_01","Europa",TRUE,"TRAPPIST-1e",24,FALSE,0,0,0,0,0,TRUE,"0182","01","C",3,"P",0
"162","0183_01","Earth",FALSE,"TRAPPIST-1e",37,FALSE,17,146,426,0,232,TRUE,"0183","01","F",36,"S",821
"163","0186_01","Earth",FALSE,"TRAPPIST-1e",25,FALSE,62,0,0,0,956,FALSE,"0186","01","G",28,"P",1018
"164","0188_01","Earth",TRUE,"TRAPPIST-1e",56,FALSE,0,0,0,0,0,TRUE,"0188","01","G",31,"S",0
"165","0189_01","Earth",FALSE,"55 Cancri e",49,FALSE,84,3,401,202,98,FALSE,"0189","01","E",8,"P",788
"166","0190_01","Earth",TRUE,"55 Cancri e",11,FALSE,0,0,0,0,0,FALSE,"0190","01","G",32,"S",0
"167","0192_01","Earth",TRUE,"TRAPPIST-1e",1,FALSE,0,0,0,0,0,TRUE,"0192","01","G",29,"P",0
"168","0192_02","Earth",FALSE,"TRAPPIST-1e",8,FALSE,0,0,0,0,0,FALSE,"0192","02","G",29,"P",0
"169","0192_03","Earth",FALSE,"TRAPPIST-1e",39,FALSE,0,0,10,898,0,FALSE,"0192","03","G",29,"P",908
"170","0193_01","Mars",TRUE,"TRAPPIST-1e",2,FALSE,0,0,0,0,0,TRUE,"0193","01","F",41,"P",0
"171","0193_02","Mars",FALSE,"TRAPPIST-1e",23,FALSE,219.598890210067,0,8,1072,0,FALSE,"0193","02","F",41,"P",1299.59889021007
"172","0193_03","Mars",FALSE,"TRAPPIST-1e",0,FALSE,0,0,0,0,0,TRUE,"0193","03","F",41,"P",0
"173","0195_01","Mars",FALSE,"TRAPPIST-1e",39,FALSE,406,0,867,0,0,TRUE,"0195","01","F",42,"P",1273
"174","0196_01","Mars",FALSE,"PSO J318.5-22",25,FALSE,1052,0,719,0,7,FALSE,"0196","01","D",5,"P",1778
"175","0197_01","Europa",FALSE,"TRAPPIST-1e",36,FALSE,0,972,0,795,575,FALSE,"0197","01","C",5,"P",2342
"177","0199_01","Earth",TRUE,"TRAPPIST-1e",18,FALSE,0,0,0,0,0,FALSE,"0199","01","G",33,"S",0
"178","0200_01","Earth",TRUE,"TRAPPIST-1e",15,FALSE,0,0,0,0,0,TRUE,"0200","01","G",31,"P",0
"179","0201_01","Europa",TRUE,"TRAPPIST-1e",35,FALSE,0,0,0,0,0,TRUE,"0201","01","B",3,"S",0
"180","0201_02","Europa",TRUE,"TRAPPIST-1e",47,FALSE,0,0,0,0,0,TRUE,"0201","02","B",3,"S",0
"181","0202_01","Europa",TRUE,"55 Cancri e",45,FALSE,0,0,0,0,0,TRUE,"0202","01","B",9,"P",0
"183","0203_01","Europa",TRUE,"TRAPPIST-1e",51,FALSE,0,0,0,0,0,TRUE,"0203","01","C",8,"S",0
"184","0205_01","Earth",FALSE,"TRAPPIST-1e",29,FALSE,0,2,66,0,705,FALSE,"0205","01","G",34,"S",773
"186","0207_01","Earth",TRUE,"PSO J318.5-22",19,FALSE,0,0,0,0,0,FALSE,"0207","01","G",32,"P",0
"187","0210_01","Unknown",TRUE,"55 Cancri e",24,FALSE,0,0,177.691390728477,0,0,TRUE,"0210","01","D",6,"P",177.691390728477
"188","0211_01","Mars",FALSE,"TRAPPIST-1e",29,FALSE,902,1,137,0,0,TRUE,"0211","01","F",44,"P",1040
"189","0211_02","Mars",TRUE,"TRAPPIST-1e",11,FALSE,0,0,0,0,0,TRUE,"0211","02","F",44,"P",0
"190","0211_03","Mars",FALSE,"TRAPPIST-1e",17,FALSE,848,0,307,182,0,FALSE,"0211","03","F",44,"P",1337
"191","0212_01","Earth",FALSE,"TRAPPIST-1e",13,FALSE,192,0,0,51,739,FALSE,"0212","01","E",9,"P",982
"192","0212_02","Earth",FALSE,"TRAPPIST-1e",35,FALSE,147,188,0,10,387,FALSE,"0212","02","F",45,"P",732
"193","0213_01","Earth",FALSE,"TRAPPIST-1e",21,FALSE,367,281,0,0,146,FALSE,"0213","01","F",46,"P",794
"194","0216_01","Earth",FALSE,"55 Cancri e",21,FALSE,0,56,0,0,1918,FALSE,"0216","01","F",40,"S",1974
"195","0217_01","Earth",FALSE,"TRAPPIST-1e",38,FALSE,1517,0,0,27,0,FALSE,"0217","01","F",47,"P",1544
"196","0219_01","Earth",TRUE,"TRAPPIST-1e",19,FALSE,0,0,0,0,0,TRUE,"0219","01","G",36,"P",0
"197","0220_01","Earth",TRUE,"TRAPPIST-1e",2,FALSE,0,0,0,0,0,TRUE,"0220","01","G",37,"P",0
"198","0220_02","Earth",FALSE,"TRAPPIST-1e",0,FALSE,0,0,0,0,0,TRUE,"0220","02","G",37,"P",0
"199","0220_03","Earth",TRUE,"TRAPPIST-1e",13,FALSE,0,0,0,0,0,FALSE,"0220","03","G",37,"P",0
"200","0220_04","Earth",FALSE,"TRAPPIST-1e",25,FALSE,122,84,177.691390728477,0,0,FALSE,"0220","04","E",10,"P",383.691390728477
"201","0220_05","Earth",FALSE,"TRAPPIST-1e",16,FALSE,0,3,0,0,1099,FALSE,"0220","05","F",48,"P",1102
"202","0220_06","Earth",FALSE,"55 Cancri e",1,FALSE,0,0,0,0,0,FALSE,"0220","06","G",37,"P",0
"203","0220_07","Earth",TRUE,"TRAPPIST-1e",15,FALSE,0,0,0,0,0,TRUE,"0220","07","G",37,"P",0
"204","0221_01","Mars",FALSE,"55 Cancri e",21,FALSE,2237,0,119,0,0,FALSE,"0221","01","E",13,"S",2356
"205","0221_02","Mars",FALSE,"TRAPPIST-1e",23,FALSE,1215,80,1,2,0,FALSE,"0221","02","E",13,"S",1298
"206","0221_03","Mars",FALSE,"TRAPPIST-1e",33,FALSE,1933,12,188,1,0,FALSE,"0221","03","E",13,"S",2134
"207","0221_04","Mars",TRUE,"TRAPPIST-1e",21,FALSE,0,0,0,0,0,TRUE,"0221","04","E",13,"S",0
"208","0221_05","Mars",FALSE,"TRAPPIST-1e",41,FALSE,1230,0,301,43,1023,FALSE,"0221","05","E",13,"S",2597
"209","0221_06","Mars",FALSE,"TRAPPIST-1e",16,FALSE,915,0,221,234,0,FALSE,"0221","06","E",13,"S",1370
"210","0221_07","Mars",TRUE,"TRAPPIST-1e",42,FALSE,0,0,0,0,0,FALSE,"0221","07","E",13,"S",0
"211","0222_01","Mars",FALSE,"TRAPPIST-1e",20,FALSE,1406,0,0,11,0,FALSE,"0222","01","F",41,"S",1417
"212","0222_02","Mars",TRUE,"TRAPPIST-1e",24,FALSE,0,0,0,0,0,TRUE,"0222","02","F",41,"S",0
"213","0222_03","Mars",TRUE,"TRAPPIST-1e",16,FALSE,0,0,0,0,0,TRUE,"0222","03","E",14,"S",0
"214","0223_01","Earth",FALSE,"TRAPPIST-1e",21,FALSE,0,2,665,0,9,FALSE,"0223","01","G",35,"S",676
"215","0224_01","Mars",FALSE,"TRAPPIST-1e",32,TRUE,181,0,5,1634,0,FALSE,"0224","01","F",42,"S",1820
"216","0225_01","Earth",TRUE,"PSO J318.5-22",58,FALSE,0,0,0,0,0,TRUE,"0225","01","G",38,"P",0
"217","0229_01","Earth",FALSE,"TRAPPIST-1e",24,FALSE,4,7,0,713,79,FALSE,"0229","01","F",43,"S",803
"218","0231_01","Mars",FALSE,"TRAPPIST-1e",30,FALSE,85,0,1,1720,0,FALSE,"0231","01","F",44,"S",1806
"219","0232_01","Earth",TRUE,"PSO J318.5-22",27,FALSE,0,425.475178241352,0,0,0,FALSE,"0232","01","G",36,"S",425.475178241352
"220","0233_01","Mars",FALSE,"TRAPPIST-1e",32,FALSE,56,0,256,1438,0,FALSE,"0233","01","F",45,"S",1750
"221","0234_01","Earth",FALSE,"TRAPPIST-1e",43,FALSE,219.598890210067,888,0,0,0,FALSE,"0234","01","F",50,"P",1107.59889021007
